word	value
بدر	-0.17821609808455294
رابط	-0.17821609808455294
مسيحي	-0.17707594902176765
أمين	-0.174795650896197
مخالف	-0.174795650896197
م	-0.174480991324862
رسال	-0.17365550183341166
مقدم	-0.17338033866959485
ناصر	-0.17137520370784098
انتقالي	-0.17051021780887246
صف	-0.17051021780887246
أبد	-0.17023505464505567
حد	-0.169330572338569
وفق	-0.16795475651948502
دكتور	-0.1668146074566997
تصرف	-0.16653944429288295
داخليه	-0.16653944429288295
ببجي	-0.16512413206628082
خواتي	-0.16512413206628082
موسي	-0.16512413206628082
مبتدئ	-0.16512413206628082
صوم	-0.16512413206628082
شهر	-0.16453430933112906
منزل	-0.16425914616731227
تغير	-0.16425914616731227
ميلاد	-0.1639839830034955
ف	-0.16394448659597724
”	-0.1628438339407102
سعر	-0.1628438339407102
احفظ	-0.16197884804174165
موقف	-0.16197884804174165
متابع	-0.16170368487792486
أمل	-0.16170368487792486
ابوي	-0.16170368487792486
طيران	-0.16170368487792486
اخوي	-0.16170368487792486
مدرسة	-0.16056353581513955
احتاج	-0.15997371307998778
وسط	-0.1594233867523542
مختلف	-0.1594233867523542
مشهد	-0.1594233867523542
ذلك	-0.15655326589163182
شرك	-0.156278102727815
سافر	-0.15600293956399827
الكترونيه	-0.15572777640018146
جمهور	-0.1548627905012129
جرح	-0.15458762733739614
قرد	-0.15458762733739614
حوار	-0.1534474782746108
قصر	-0.1534474782746108
سالم	-0.1534474782746108
خصم	-0.1534474782746108
ريح	-0.1534474782746108
عبر	-0.1528576555394591
إذن	-0.15258249237564225
اخبار	-0.15230732921182552
داي	-0.15116718014904018
بحر	-0.15116718014904018
شعبي	-0.15030219425007163
حرام	-0.14916204518728632
⠀	-0.14861171885965277
خسر	-0.14861171885965277
↡	-0.14861171885965277
مستوى	-0.14774673296068422
قائم	-0.14774673296068422
طائف	-0.1474715697968674
رائد	-0.1474715697968674
احق	-0.1474715697968674
فهم	-0.14688174706171567
يساري	-0.1463314207340821
ص	-0.1463314207340821
فوز	-0.1463314207340821
حضور	-0.14519127167129675
مطار	-0.14519127167129675
ياسر	-0.14405112260851147
صحيح	-0.14373646303717647
ابطال	-0.14291097354572613
دعاء	-0.14291097354572613
جانب	-0.14291097354572613
سيطره	-0.14291097354572613
صورة	-0.14200649123923936
أخير	-0.14177082448294082
ماضي	-0.14177082448294082
مليون	-0.14177082448294082
لعب	-0.14118100174778908
شرط	-0.14090583858397226
شارك	-0.1406306754201555
استودع	-0.14035551225633872
كوريا	-0.14035551225633872
إناث	-0.14035551225633872
فن	-0.14035551225633872
تناقض	-0.1394905263573702
علمي	-0.13921536319355338
ثانوي	-0.13921536319355338
أسعد	-0.13921536319355338
ابي	-0.13921536319355338
استغفر	-0.13921536319355338
كتب	-0.13890070362221846
قهو	-0.13807521413076806
مكرمه	-0.13807521413076806
عشق	-0.13807521413076806
طائر	-0.13807521413076806
سيد	-0.1374853913956163
مدين	-0.1372102282317995
استقبال	-0.13693506506798273
وحيد	-0.13693506506798273
محلي	-0.13693506506798273
محور	-0.13693506506798273
مكتب	-0.13579491600519744
قائد	-0.1326496319806582
ادار	-0.1326496319806582
عبدالعزيز	-0.13237446881684145
نعمة	-0.13237446881684145
منتج	-0.13209930565302466
أمطار	-0.13209930565302466
انديه	-0.13209930565302466
زهر	-0.13209930565302466
تمهيدي	-0.13209930565302466
خزامي	-0.13209930565302466
جمعان	-0.13209930565302466
اعتبر	-0.13150948291787287
الله	-0.13134756222136884
تحقق	-0.13123431975405614
غد	-0.13095915659023935
بنفسجي	-0.13095915659023935
سعد	-0.13095915659023935
كتير	-0.13095915659023935
باب	-0.1303693338550876
امام	-0.13009417069127083
سعيد	-0.13009417069127083
كي	-0.13009417069127083
قوه	-0.13005467428375264
عباس	-0.129819007527454
تحي	-0.129819007527454
تبوك	-0.129819007527454
حكوميه	-0.129819007527454
فارس	-0.129819007527454
معاملة	-0.129819007527454
مرحبا	-0.129819007527454
مدرس	-0.12867885846466867
مواطن	-0.12863936205715049
كم	-0.12863936205715049
مش	-0.12836419889333373
أحمر	-0.12781387256570012
عسير	-0.1275387094018834
مدني	-0.1275387094018834
نائب	-0.12639856033909805
راي	-0.1260839007677631
صدر	-0.12439342537734417
